s0,s10,s90,s90d
47,33,12,2
51,31,13,0
55,38,19,0
116,88,121,13
49,42,5,2
107,83,147,10
87,71,69,13
90,46,23,2
39,38,7,5
104,62,89,21
93,72,81,5
103,90,128,22
88,48,22,0
93,75,145,23
91,79,75,16
101,71,88,11
31,18,3,1
53,39,13,0
31,26,9,2
36,26,12,1
93,65,86,14
54,46,20,0
16,14,0,0
92,76,65,8
112,89,155,18
96,94,132,11
22,21,8,0
106,73,117,19
117,77,89,13
21,15,10,0
107,85,100,28
121,77,125,16
100,80,78,12
83,71,71,7
112,93,112,21
102,73,94,17
104,79,97,20
87,75,81,14
112,79,131,21
86,65,62,13
95,64,88,10
104,73,118,9
94,71,72,14
95,66,61,8
98,73,84,12
93,73,93,5
70,64,82,8
37,34,12,0
102,74,103,9
89,80,70,0
106,70,123,24
97,75,62,11
41,33,5,0
110,87,126,17
98,94,87,17
104,77,117,18
111,76,100,17
88,64,61,13
88,58,77,10
87,63,44,7
101,72,86,9
104,72,76,13
82,66,55,14
106,80,122,30
103,77,130,8
83,40,23,4
101,74,75,10
89,65,53,8
91,71,88,10
104,71,89,7
26,27,4,0
88,64,54,7
121,106,92,10
19,12,6,2
112,83,120,9
89,40,17,1
118,77,109,14
101,87,80,12
81,64,76,6
100,74,104,13
94,69,70,12
89,72,53,5
99,72,119,14
91,77,84,9
93,76,82,18
40,30,12,0
97,70,81,10
44,28,13,1
108,91,141,17
84,69,60,14
101,75,84,9
91,53,16,0
97,75,88,11
61,28,4,1
95,73,60,10
84,40,21,0
43,32,2,0
89,76,79,8
47,25,13,0
102,85,116,9
54,42,12,0
106,74,81,5
112,89,98,24
95,82,76,23
91,93,103,14
39,30,6,0
100,70,63,8
85,71,56,9
98,85,103,13
83,67,62,3
106,83,95,17
99,78,69,3
101,65,105,11
100,77,101,5
113,79,122,26
103,76,66,9
34,25,6,0
118,88,137,20
110,81,128,24
95,74,69,10
94,58,78,9
104,93,108,10
114,71,93,13
93,64,73,11
37,30,9,5
84,68,70,7
46,30,14,2
45,32,11,0
112,79,109,18
87,66,63,3
97,89,79,11
89,76,86,14
97,74,74,8
100,68,64,14
87,41,11,0
19,19,15,3
15,12,6,1
31,23,8,0
102,73,78,17
95,57,77,14
48,31,13,0
88,68,70,13
81,38,90,3
102,70,64,3
90,71,89,5
89,71,68,9
95,76,73,10
102,82,88,16
100,76,91,10
98,60,69,10
127,62,151,31
95,70,81,11
40,30,8,0
102,76,77,11
86,71,67,18
86,73,75,7
36,17,5,2
91,64,70,13
95,73,96,5
110,55,109,7
28,22,11,1
108,69,85,11
45,20,12,0
102,82,98,15
86,77,96,19
86,65,52,5
95,73,84,11
95,71,98,5
102,68,72,15
36,28,6,0
95,68,97,5
38,28,10,2
36,31,9,0
111,68,85,14
47,26,15,0
111,76,92,12
94,69,70,8
90,78,102,14
99,71,99,8
101,76,90,18
103,80,88,9
19,30,17,0
102,83,160,22
95,96,136,13
94,68,103,8
102,69,92,17
102,74,99,16
84,68,85,8
117,102,108,21
93,64,95,13
103,89,135,19
93,64,57,10
94,78,84,20
43,34,14,3
88,82,77,9
33,28,13,2
84,63,75,12
40,33,3,0
87,71,84,11
91,70,68,10
89,77,73,6
73,41,15,1
83,65,67,9
33,24,5,4
96,67,82,7
36,30,4,2
100,69,80,18
86,73,51,1
40,29,11,1
112,81,118,12
110,77,121,14
97,72,74,17
90,82,107,12
99,85,113,23
97,73,78,11
110,77,164,20
103,87,118,21
89,65,69,12
45,30,15,0
104,71,88,8
101,68,119,26
102,75,123,14
92,69,62,10
15,13,11,0
104,75,83,11
52,41,9,2
102,74,62,12
45,30,6,0
44,31,5,0
11,14,7,1
94,69,64,9
37,32,14,1
41,28,9,1
96,72,80,7
42,31,13,3
87,74,96,4
106,72,144,15
102,69,71,14
90,60,56,16
123,81,120,26
95,74,59,6
21,16,6,4
25,22,3,2
89,81,75,9
36,19,15,0
109,68,103,13
95,74,97,10
103,79,89,9
91,71,70,13
83,66,70,7
115,68,91,9
35,25,11,2
98,97,181,25
103,59,72,11
86,62,67,5
102,73,84,13
32,22,6,0
37,27,17,1
100,61,100,22
102,77,133,19
39,27,9,0
92,72,89,14
97,59,98,13
32,22,8,1
99,49,15,1
112,71,132,14
84,68,66,10
32,28,11,3
93,57,29,6
99,69,80,12
45,34,10,3
89,75,82,7
103,73,88,11
78,76,71,14
99,68,72,18
111,69,119,12
96,68,57,5
86,72,94,13
96,71,62,7
98,68,63,8
94,66,76,5
28,26,5,0
106,68,83,7
42,31,14,2
91,69,69,8
104,71,106,22
95,64,117,11
104,88,140,14
96,70,61,8
92,60,69,7
107,73,90,18
40,40,5,0
76,58,50,6
30,23,8,1
57,25,13,0
103,86,131,17
86,63,71,9
101,62,98,7
102,78,77,3
118,81,130,13
37,27,5,0
13,16,9,3
40,41,10,0
103,87,94,16
87,69,68,4
12,11,8,1
88,73,90,6
42,37,6,0
29,22,16,2
92,51,24,0
28,17,14,1
93,63,63,7
127,53,112,27
100,86,101,15
116,80,128,20
114,85,160,15
92,67,69,15
108,80,93,22
