red_flag,s0,s10,s90,s90d
2,120,78,138,25
0,95,70,99,22
0,87,72,64,19
2,127,80,173,35
1,46,29,5,2
1,45,43,9,2
2,107,69,114,12
2,103,85,102,21
0,95,75,88,10
0,91,67,58,6
0,96,80,52,9
2,108,77,124,15
0,99,84,90,7
0,104,81,80,15
0,90,65,58,12
2,102,79,100,14
0,84,69,68,3
0,99,80,58,14
2,106,79,104,20
0,113,67,77,13
1,42,33,11,4
1,79,25,28,0
0,91,67,85,9
0,89,65,74,8
0,84,66,81,5
0,111,88,94,14
0,85,74,92,9
1,82,51,15,2
2,119,78,132,15
0,101,71,71,10
1,102,50,14,3
0,89,62,71,3
0,101,80,86,17
1,30,26,5,6
2,115,82,110,19
2,107,74,139,16
2,101,79,138,18
1,102,46,19,1
0,98,65,63,10
0,107,83,89,14
0,107,71,93,8
1,41,40,5,5
1,45,35,4,1
0,96,73,87,12
2,110,75,118,7
2,104,85,103,19
0,104,70,93,16
0,95,80,63,7
0,86,65,89,6
0,102,78,86,10
1,43,35,4,0
1,45,29,13,0
2,117,68,110,33
1,58,34,12,2
0,110,80,90,18
2,111,79,109,17
1,27,23,1,2
0,102,70,76,19
2,104,77,122,24
0,88,60,89,3
1,41,25,4,1
1,37,29,15,0
0,100,77,78,5
1,46,33,19,4
2,101,64,106,17
0,89,79,88,12
1,53,21,10,0
0,99,72,97,9
1,31,29,9,0
1,45,29,10,0
0,100,97,75,10
2,105,73,116,18
1,46,29,8,0
0,92,69,77,14
2,100,45,109,11
0,90,64,74,8
0,100,74,88,9
0,108,91,89,14
0,86,64,71,6
0,78,71,49,14
1,35,23,13,0
0,101,77,97,28
0,83,71,55,5
1,66,34,13,4
0,98,74,78,12
1,13,14,2,0
1,26,23,5,2
2,102,86,99,16
1,42,27,12,3
0,99,75,92,11
2,99,78,112,23
1,49,35,10,0
1,40,34,7,2
1,50,40,6,3
2,103,96,132,9
1,49,30,15,0
0,102,72,95,14
0,100,71,89,19
1,57,30,13,2
1,15,14,3,3
1,47,29,9,2
2,113,93,141,15
2,120,89,158,35
1,38,34,5,6
2,104,78,100,20
0,108,81,95,11
1,34,20,6,0
0,91,76,81,18
1,46,42,7,6
0,107,64,94,11
0,108,76,77,3
1,16,13,6,1
1,55,30,9,5
2,111,75,181,17
2,105,95,133,18
0,82,67,56,8
0,92,71,88,4
1,44,35,5,1
0,88,59,55,7
0,89,71,77,6
1,48,26,10,5
2,107,71,113,15
2,100,79,100,5
1,15,19,1,5
2,112,81,118,18
2,111,78,132,11
2,106,83,115,17
1,44,39,8,5
0,92,77,64,4
0,75,67,39,0
0,89,68,71,10
1,41,34,8,0
0,103,72,78,8
0,102,75,94,15
0,106,79,96,15
1,40,29,7,0
2,115,71,112,12
0,110,100,86,14
1,55,33,13,1
1,35,33,11,0
0,96,65,68,9
1,39,24,3,2
0,91,62,61,10
0,97,68,94,7
2,106,78,136,30
0,104,72,90,19
1,39,37,11,2
2,115,83,111,17
0,101,64,70,9
1,47,33,12,2
1,51,31,13,0
1,55,38,19,0
2,116,88,121,13
1,49,42,5,2
2,107,83,147,10
0,87,71,69,13
1,90,46,23,2
1,39,38,7,5
0,104,62,89,21
0,93,72,81,5
2,103,90,128,22
1,88,48,22,0
2,93,75,145,23
0,91,79,75,16
0,101,71,88,11
1,31,18,3,1
1,53,39,13,0
1,31,26,9,2
1,36,26,12,1
0,93,65,86,14
1,54,46,20,0
1,16,14,0,0
0,92,76,65,8
2,112,89,155,18
2,96,94,132,11
1,22,21,8,0
2,106,73,117,19
0,117,77,89,13
1,21,15,10,0
2,107,85,100,28
2,121,77,125,16
0,100,80,78,12
0,83,71,71,7
2,112,93,112,21
0,102,73,94,17
0,104,79,97,20
0,87,75,81,14
2,112,79,131,21
0,86,65,62,13
0,95,64,88,10
2,104,73,118,9
0,94,71,72,14
0,95,66,61,8
0,98,73,84,12
0,93,73,93,5
0,70,64,82,8
1,37,34,12,0
2,102,74,103,9
0,89,80,70,0
2,106,70,123,24
0,97,75,62,11
1,41,33,5,0
2,110,87,126,17
0,98,94,87,17
2,104,77,117,18
2,111,76,100,17
0,88,64,61,13
0,88,58,77,10
0,87,63,44,7
0,101,72,86,9
0,104,72,76,13
0,82,66,55,14
2,106,80,122,30
2,103,77,130,8
1,83,40,23,4
0,101,74,75,10
0,89,65,53,8
0,91,71,88,10
0,104,71,89,7
1,26,27,4,0
0,88,64,54,7
0,121,106,92,10
1,19,12,6,2
2,112,83,120,9
1,89,40,17,1
2,118,77,109,14
0,101,87,80,12
0,81,64,76,6
2,100,74,104,13
0,94,69,70,12
0,89,72,53,5
2,99,72,119,14
0,91,77,84,9
0,93,76,82,18
1,40,30,12,0
0,97,70,81,10
1,44,28,13,1
2,108,91,141,17
0,84,69,60,14
0,101,75,84,9
1,91,53,16,0
0,97,75,88,11
1,61,28,4,1
0,95,73,60,10
1,84,40,21,0
1,43,32,2,0
0,89,76,79,8
1,47,25,13,0
2,102,85,116,9
1,54,42,12,0
0,106,74,81,5
2,112,89,98,24
0,95,82,76,23
2,91,93,103,14
1,39,30,6,0
0,100,70,63,8
0,85,71,56,9
